DATAFLOW,LAST UPDATE,freq,direct,tra_cov,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_1,2022-Q3,3309,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_1,2022-Q4,1384,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_1,2023-Q1,958,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2017-Q1,1633,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2017-Q2,2877,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2017-Q3,4008,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2017-Q4,2123,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2018-Q1,1675,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2018-Q2,2799,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2018-Q3,3847,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2018-Q4,1825,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2019-Q1,1643,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2019-Q2,3308,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2019-Q3,3836,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2019-Q4,2050,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2020-Q1,1299,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2020-Q2,535,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2020-Q3,1742,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2020-Q4,798,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2021-Q1,470,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2021-Q2,777,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2021-Q3,2512,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2021-Q4,1564,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2022-Q1,1151,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2022-Q2,2783,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2022-Q3,3828,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2022-Q4,1829,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_2,2023-Q1,1444,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_3,2018-Q1,50,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_3,2018-Q2,170,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_3,2018-Q3,235,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_3,2018-Q4,72,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2017-Q1,48,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2017-Q2,147,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2017-Q3,229,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2017-Q4,70,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2018-Q4,1,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2019-Q1,9,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2019-Q2,30,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2019-Q3,66,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2019-Q4,18,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2020-Q1,4,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2020-Q2,5,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2020-Q3,47,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2020-Q4,7,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE_9,2021-Q2,6,
