DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2021-Q4,4683462,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2022-Q1,3803662,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2022-Q2,7432848,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2022-Q3,8676550,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2022-Q4,6736513,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2023-Q1,6041468,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,DK,2023-Q2,8528708,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2018-Q1,554542,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2018-Q2,809663,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2018-Q3,898765,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2018-Q4,732558,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2019-Q1,629880,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2019-Q2,883158,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2019-Q3,953546,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2019-Q4,791419,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2020-Q1,527591,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2020-Q2,37996,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2020-Q3,202059,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2020-Q4,90191,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2021-Q1,84838,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2021-Q2,195991,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,Q,PAS,PAS_CRD,TOTAL,TOT,EE,2021-Q3,498352,
